dish	target	generated_png
????	yuxiang-rousi.webp	ig_0d721ef98f14f269016a277db4798c81999edc5596cdbee5a8.png
????	gongbao-jiding.webp	ig_0d721ef98f14f269016a277e0343b48199b2f954883507ac60.png
???	hongshao-rou.webp	ig_0d721ef98f14f269016a277eee1dac8199845ba9910b20eb47.png
??????	xihongshi-chao-jidan.webp	ig_0d721ef98f14f269016a277f562de48199b721a9dc417a8c40.png
????	hongshao-paigu.webp	ig_0d721ef98f14f269016a27801140688199a0c4537c4a37d3da.png
????	tangcu-paigu.webp	ig_0d721ef98f14f269016a27806f45ec8199a774ee5275e0666b.png
????	mapo-doufu.webp	ig_0d721ef98f14f269016a2780d894508199a37c120897b29e6f.png
????	kele-jichi.webp	ig_0d721ef98f14f269016a27812da4588199be640ad53c4baebf.png
?????	suanla-tudousi.webp	ig_0d721ef98f14f269016a278190e6a881999f9f951d53a4dfa9.png
???	huiguo-rou.webp	ig_0d721ef98f14f269016a27836f9f9c8199806923cacbbaeeb8.png
